audience_id,audience_name,audience_type,type,category,parent,source,updated_at
"4568929","アドベンチャー ゲーム、ウォー ゲーム ファン","AFFINITY","affinity","メディア、エンターテイメント","ゲームファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4569049","ドライビング ゲーム、レース ゲーム ファン","AFFINITY","affinity","メディア、エンターテイメント","ゲームファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4569169","ロールプレイング ゲーム ファン","AFFINITY","affinity","メディア、エンターテイメント","ゲームファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4569289","シューティング ゲーム ファン","AFFINITY","affinity","メディア、エンターテイメント","ゲームファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4569409","スポーツ ゲーム ファン","AFFINITY","affinity","メディア、エンターテイメント","ゲームファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4569529","モバイルファン","AFFINITY","affinity","テクノロジー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4569649","ソーシャル メディア ファン","AFFINITY","affinity","テクノロジー","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4569769","トラック、SUV ファン","AFFINITY","affinity","乗り物、交通機関","自動車ファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4569889","ビジネスのプロフェッショナル","AFFINITY","affinity","ライフスタイル、趣味","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4570009","コミック、アニメーション ファン","AFFINITY","affinity","メディア、エンターテイメント","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4570129","ワールド ミュージック ファン","AFFINITY","affinity","メディア、エンターテイメント","音楽ファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4570249","南アジア映画のファン","AFFINITY","affinity","メディア、エンターテイメント","映画ファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4570369","クリケット ファン","AFFINITY","affinity","スポーツ、フィットネス","スポーツファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4570489","ラグビーファン","AFFINITY","affinity","スポーツ、フィットネス","スポーツファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4570609","オーストラリアン フットボール ファン","AFFINITY","affinity","スポーツ、フィットネス","スポーツファン","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4570729","舞台芸術のチケット","IN_MARKET","in_market","イベント チケット","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4570849","ブロードウェイ、劇場のチケット","IN_MARKET","in_market","イベント チケット","舞台芸術のチケット","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4570969","コンサート、音楽祭のチケット","IN_MARKET","in_market","イベント チケット","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4571089","スポーツのチケット","IN_MARKET","in_market","イベント チケット","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4571129","アメリカン フットボールのチケット","IN_MARKET","in_market","イベント チケット","スポーツのチケット","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4571209","野球のチケット","IN_MARKET","in_market","イベント チケット","スポーツのチケット","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4571329","バスケットボールのチケット","IN_MARKET","in_market","イベント チケット","スポーツのチケット","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4571449","ホッケーのチケット","IN_MARKET","in_market","イベント チケット","スポーツのチケット","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4571569","サッカーのチケット","IN_MARKET","in_market","イベント チケット","スポーツのチケット","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4571689","バス、鉄道での旅行","IN_MARKET","in_market","旅行","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4571809","旅（目的地別）","IN_MARKET","in_market","旅行","","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4571929","アジア太平洋地域への旅","IN_MARKET","in_market","旅行","旅（目的地別）","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4572049","ヨーロッパへの旅","IN_MARKET","in_market","旅行","旅（目的地別）","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4572169","ラテンアメリカへの旅","IN_MARKET","in_market","旅行","旅（目的地別）","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
